TradeId,ProductType,Maturity,Strike,NPV,Vega,MC_StdErr,PricingTime_s
VAN_6M_60,Vanilla,6M,60.0,0.01790726671584423,0.0,0.0,0.5707770049998544
VAN_6M_70,Vanilla,6M,70.0,0.10805072569880206,0.0,0.0,0.567531209000208
VAN_6M_80,Vanilla,6M,80.0,0.5057846531113502,0.0,0.0,0.5715848899999401
VAN_6M_90,Vanilla,6M,90.0,1.8473199148560342,0.0,0.0,0.5662710599999627
VAN_6M_100,Vanilla,6M,100.0,6.176979209783987,0.0,0.0,0.5699893080000038
VAN_6M_110,Vanilla,6M,110.0,2.28668150107477,0.0,0.0,0.5685647720001725
VAN_6M_120,Vanilla,6M,120.0,0.6361084605893135,0.0,0.0,0.573949323999841
VAN_6M_130,Vanilla,6M,130.0,0.13806474100243765,0.0,0.0,0.5686151340000833
VAN_6M_140,Vanilla,6M,140.0,0.025196531400449217,0.0,0.0,0.5683792529998755
VAN_1Y_60,Vanilla,1Y,60.0,0.21016888338900125,0.0,0.0,0.5681356539998887
VAN_1Y_70,Vanilla,1Y,70.0,0.6201578520069743,0.0,0.0,0.5987884760002089
VAN_1Y_80,Vanilla,1Y,80.0,1.5560356932326593,0.0,0.0,0.641468021000037
VAN_1Y_90,Vanilla,1Y,90.0,3.4993180590323596,0.0,0.0,0.6208118059998924
VAN_1Y_100,Vanilla,1Y,100.0,8.997081676763315,0.0,0.0,0.5881538989997352
VAN_1Y_110,Vanilla,1Y,110.0,4.646270144954552,0.0,0.0,0.5901616129999638
VAN_1Y_120,Vanilla,1Y,120.0,2.1108195924924735,0.0,0.0,0.6512049709999701
VAN_1Y_130,Vanilla,1Y,130.0,0.864631645639042,0.0,0.0,0.7292103659997338
VAN_1Y_140,Vanilla,1Y,140.0,0.33161138375065347,0.0,0.0,0.5885299970000233
VAN_2Y_60,Vanilla,2Y,60.0,0.9834218771122895,0.0,0.0,0.568332498000018
VAN_2Y_70,Vanilla,2Y,70.0,1.9654607761763758,0.0,0.0,0.5805374189999384
VAN_2Y_80,Vanilla,2Y,80.0,3.5049131161045106,0.0,0.0,0.5675684740003817
VAN_2Y_90,Vanilla,2Y,90.0,5.88054732502173,0.0,0.0,0.5729057469998224
VAN_2Y_100,Vanilla,2Y,100.0,13.33123082926258,0.0,0.0,0.5790650150001966
VAN_2Y_110,Vanilla,2Y,110.0,8.60442344775662,0.0,0.0,0.5818689130001076
VAN_2Y_120,Vanilla,2Y,120.0,5.255616384907866,0.0,0.0,0.5693079990001024
VAN_2Y_130,Vanilla,2Y,130.0,3.0852410853303973,0.0,0.0,0.5887934739998855
VAN_2Y_140,Vanilla,2Y,140.0,1.774387164312032,0.0,0.0,0.6975120420001986
BAR_Up_120_1Y,Barrier,1Y,100.0,9.017718359985082,0.0,0.0,19.930750488000285
BAR_Up_130_1Y,Barrier,1Y,100.0,9.017718359985082,0.0,0.0,17.491455133999807
BAR_Do_80_1Y,Barrier,1Y,100.0,9.017718359985082,0.0,0.0,17.387216725000144
ASIAN_ATM_1Y,Asian,1Y,100.0,9.017718359985082,0.0,0.0,16.787636520000433
FWDSTART_6M_18M,ForwardStart,6M,100.0,11.346328949914934,0.0,0.0,25.96633970799985
