tenor,lv_min,lv_max,lv_mean,nan_count
0.0833,0.0001,0.43089876031727675,0.22368747431057381,0
0.1666,0.0001,0.4308771698447074,0.22365823128514972,0
0.25,0.0001,0.43071545001430156,0.22358143765960248,0
0.3333,0.0001,0.4306037631035074,0.22352338899641344,0
0.4166,0.0001,0.43057058865112496,0.22349305896688026,0
0.5,0.0001,0.43038197562075275,0.22340977282740535,0
0.5833,0.0001,0.43032992099121403,0.22337580867617304,0
0.6666,0.0001,0.4302125023477226,0.22331920017539514,0
0.75,0.0001,0.4304732425419041,0.22328484398104445,0
0.8333,0.0001,0.4315562670963514,0.223242838645808,0
0.9166,0.0001,0.4326227560175743,0.22319539462317045,0
1.0,0.0001,0.43392993239830163,0.22323108452186077,0
1.0833,0.0001,0.43485395770320373,0.22313142049444265,0
1.1666,0.0001,0.4360606162393707,0.22313110075551035,0
1.25,0.0001,0.43719475747746234,0.2231035571313142,0
1.3333,0.0001,0.43830518180239886,0.22306789284892645,0
1.4166,0.0001,0.4397588061301389,0.2231515491872668,0
1.5,0.0001,0.4406568699947805,0.22303814781603842,0
1.5833,0.0001,0.44196056015138663,0.22306808347292142,0
1.6667,0.0001,0.4431285786481038,0.2230477394883262,0
1.75,0.0001,0.4443815948959419,0.22305787648383157,0
1.8333,0.0001,0.44563175252255643,0.22306449675691645,0
1.9167,0.0001,0.4467964095798521,0.2230408301607038,0
2.0,0.0001,0.44847096126930125,0.2231959881224866,0
2.0833,0.0001,0.44934557027600375,0.22306578232607763,0
2.1667,0.0001,0.45076950835997687,0.22313046666314512,0
2.25,0.0001,0.4520665424168786,0.22314727263142037,0
2.3333,0.0001,0.4532922752916861,0.22313862106559557,0
2.4167,0.0001,0.455129736636818,0.22334527869140225,0
2.5,0.0001,0.45598373672124554,0.22319993664953883,0
2.5833,0.0001,0.45752660563971415,0.22329957889272026,0
2.6667,0.0001,0.4588513463044457,0.2233180432693597,0
2.75,0.0001,0.4602958582868717,0.22337954323187306,0
2.8333,0.0001,0.4617180507075326,0.22342843019895658,0
2.9167,0.0001,0.4631095591195468,0.22346857220971295,0
3.0,0.0001,0.45598249033075117,0.22045518121630958,0
